"DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN"
"243" 2020-04-06 "Antwerpen" "Flanders" 46 2020-04-06 "Brussels" "Brussels" 47 2020-04-06 "Hainaut" "Wallonia" 32 2020-04-06 "Limburg" "Flanders" 32 2020-04-06 "Liège" "Wallonia" 36 2020-04-06 "Luxembourg" "Wallonia" 11 2020-04-06 "Namur" "Wallonia" 6 2020-04-06 "OostVlaanderen" "Flanders" 50 2020-04-06 "VlaamsBrabant" "Flanders" 17 2020-04-06 "BrabantWallon" "Wallonia" 4 2020-04-06 "WestVlaanderen" "Flanders" 33
"254" 2020-04-07 "Antwerpen" "Flanders" 86 2020-04-07 "Brussels" "Brussels" 79 2020-04-07 "Hainaut" "Wallonia" 48 2020-04-07 "Limburg" "Flanders" 45 2020-04-07 "Liège" "Wallonia" 45 2020-04-07 "Luxembourg" "Wallonia" 12 2020-04-07 "Namur" "Wallonia" 15 2020-04-07 "OostVlaanderen" "Flanders" 61 2020-04-07 "VlaamsBrabant" "Flanders" 31 2020-04-07 "BrabantWallon" "Wallonia" 5 2020-04-07 "WestVlaanderen" "Flanders" 63
"265" 2020-04-08 "Antwerpen" "Flanders" 52 2020-04-08 "Brussels" "Brussels" 68 2020-04-08 "Hainaut" "Wallonia" 52 2020-04-08 "Limburg" "Flanders" 59 2020-04-08 "Liège" "Wallonia" 53 2020-04-08 "Luxembourg" "Wallonia" 12 2020-04-08 "Namur" "Wallonia" 39 2020-04-08 "OostVlaanderen" "Flanders" 48 2020-04-08 "VlaamsBrabant" "Flanders" 22 2020-04-08 "BrabantWallon" "Wallonia" 9 2020-04-08 "WestVlaanderen" "Flanders" 45
"276" 2020-04-09 "Antwerpen" "Flanders" 60 2020-04-09 "Brussels" "Brussels" 80 2020-04-09 "Hainaut" "Wallonia" 67 2020-04-09 "Limburg" "Flanders" 42 2020-04-09 "Liège" "Wallonia" 49 2020-04-09 "Luxembourg" "Wallonia" 13 2020-04-09 "Namur" "Wallonia" 26 2020-04-09 "OostVlaanderen" "Flanders" 49 2020-04-09 "VlaamsBrabant" "Flanders" 22 2020-04-09 "BrabantWallon" "Wallonia" 9 2020-04-09 "WestVlaanderen" "Flanders" 45
"287" 2020-04-10 "Antwerpen" "Flanders" 44 2020-04-10 "Brussels" "Brussels" 59 2020-04-10 "Hainaut" "Wallonia" 57 2020-04-10 "Limburg" "Flanders" 45 2020-04-10 "Liège" "Wallonia" 46 2020-04-10 "Luxembourg" "Wallonia" 9 2020-04-10 "Namur" "Wallonia" 17 2020-04-10 "OostVlaanderen" "Flanders" 61 2020-04-10 "VlaamsBrabant" "Flanders" 29 2020-04-10 "BrabantWallon" "Wallonia" 5 2020-04-10 "WestVlaanderen" "Flanders" 49
"298" 2020-04-11 "Antwerpen" "Flanders" 60 2020-04-11 "Brussels" "Brussels" 43 2020-04-11 "Hainaut" "Wallonia" 64 2020-04-11 "Limburg" "Flanders" 47 2020-04-11 "Liège" "Wallonia" 39 2020-04-11 "Luxembourg" "Wallonia" 8 2020-04-11 "Namur" "Wallonia" 15 2020-04-11 "OostVlaanderen" "Flanders" 53 2020-04-11 "VlaamsBrabant" "Flanders" 17 2020-04-11 "BrabantWallon" "Wallonia" 5 2020-04-11 "WestVlaanderen" "Flanders" 42
"309" 2020-04-12 "Antwerpen" "Flanders" 34 2020-04-12 "Brussels" "Brussels" 49 2020-04-12 "Hainaut" "Wallonia" 40 2020-04-12 "Limburg" "Flanders" 24 2020-04-12 "Liège" "Wallonia" 18 2020-04-12 "Luxembourg" "Wallonia" 3 2020-04-12 "Namur" "Wallonia" 8 2020-04-12 "OostVlaanderen" "Flanders" 26 2020-04-12 "VlaamsBrabant" "Flanders" 20 2020-04-12 "BrabantWallon" "Wallonia" 8 2020-04-12 "WestVlaanderen" "Flanders" 40
"320" 2020-04-13 "Antwerpen" "Flanders" 33 2020-04-13 "Brussels" "Brussels" 37 2020-04-13 "Hainaut" "Wallonia" 25 2020-04-13 "Limburg" "Flanders" 23 2020-04-13 "Liège" "Wallonia" 20 2020-04-13 "Luxembourg" "Wallonia" 6 2020-04-13 "Namur" "Wallonia" 10 2020-04-13 "OostVlaanderen" "Flanders" 31 2020-04-13 "VlaamsBrabant" "Flanders" 14 2020-04-13 "BrabantWallon" "Wallonia" 2 2020-04-13 "WestVlaanderen" "Flanders" 41
"331" 2020-04-14 "Antwerpen" "Flanders" 41 2020-04-14 "Brussels" "Brussels" 31 2020-04-14 "Hainaut" "Wallonia" 34 2020-04-14 "Limburg" "Flanders" 30 2020-04-14 "Liège" "Wallonia" 8 2020-04-14 "Luxembourg" "Wallonia" 10 2020-04-14 "Namur" "Wallonia" 9 2020-04-14 "OostVlaanderen" "Flanders" 39 2020-04-14 "VlaamsBrabant" "Flanders" 11 2020-04-14 "BrabantWallon" "Wallonia" 2 2020-04-14 "WestVlaanderen" "Flanders" 35
"342" 2020-04-15 "Antwerpen" "Flanders" 33 2020-04-15 "Brussels" "Brussels" 45 2020-04-15 "Hainaut" "Wallonia" 29 2020-04-15 "Limburg" "Flanders" 32 2020-04-15 "Liège" "Wallonia" 31 2020-04-15 "Luxembourg" "Wallonia" 7 2020-04-15 "Namur" "Wallonia" 7 2020-04-15 "OostVlaanderen" "Flanders" 43 2020-04-15 "VlaamsBrabant" "Flanders" 18 2020-04-15 "BrabantWallon" "Wallonia" 2 2020-04-15 "WestVlaanderen" "Flanders" 63
